V1	I1	V2	I2	V3	I3
1.12000E+00	3.72300E-07	4.49560E-01	0.00000E+00	0.00000E+00	-3.70020E-07
1.14000E+00	3.88120E-07	4.51000E-01	0.00000E+00	0.00000E+00	-3.89600E-07
1.16000E+00	4.04980E-07	4.52760E-01	0.00000E+00	0.00000E+00	-4.07500E-07
1.18000E+00	4.24680E-07	4.54000E-01	0.00000E+00	0.00000E+00	-4.21900E-07
1.20000E+00	4.51140E-07	4.53160E-01	0.00000E+00	0.00000E+00	-4.50000E-07
1.22000E+00	4.70280E-07	4.54360E-01	0.00000E+00	0.00000E+00	-4.66860E-07
1.24000E+00	4.76480E-07	4.58280E-01	0.00000E+00	0.00000E+00	-4.77520E-07
1.26000E+00	4.98120E-07	4.59840E-01	0.00000E+00	0.00000E+00	-5.01260E-07
1.28000E+00	5.20560E-07	4.61640E-01	0.00000E+00	0.00000E+00	-5.21280E-07
1.30000E+00	5.43260E-07	4.63480E-01	0.00000E+00	0.00000E+00	-5.41480E-07
1.32000E+00	5.66320E-07	4.64960E-01	0.00000E+00	0.00000E+00	-5.63340E-07
1.34000E+00	5.85060E-07	4.66520E-01	0.00000E+00	0.00000E+00	-5.87280E-07
1.36000E+00	6.10300E-07	4.68080E-01	0.00000E+00	0.00000E+00	-6.09420E-07
1.38000E+00	6.37920E-07	4.69600E-01	0.00000E+00	0.00000E+00	-6.40720E-07
1.40000E+00	6.65980E-07	4.71120E-01	0.00000E+00	0.00000E+00	-6.69260E-07
1.42000E+00	6.95940E-07	4.73240E-01	0.00000E+00	0.00000E+00	-6.93900E-07
1.44000E+00	7.19720E-07	4.74600E-01	0.00000E+00	0.00000E+00	-7.19600E-07
1.46000E+00	7.50600E-07	4.76640E-01	0.00000E+00	0.00000E+00	-7.53460E-07
1.48000E+00	7.84360E-07	4.78000E-01	0.00000E+00	0.00000E+00	-7.88940E-07
1.50000E+00	8.15320E-07	4.80040E-01	0.00000E+00	0.00000E+00	-8.20520E-07
1.52000E+00	8.51780E-07	4.81720E-01	0.00000E+00	0.00000E+00	-8.49820E-07
1.54000E+00	8.84920E-07	4.83200E-01	0.00000E+00	0.00000E+00	-8.79160E-07
1.56000E+00	9.23540E-07	4.85240E-01	0.00000E+00	0.00000E+00	-9.18040E-07
1.58000E+00	9.54960E-07	4.87400E-01	0.00000E+00	0.00000E+00	-9.58940E-07
1.60000E+00	9.98540E-07	4.89120E-01	0.00000E+00	0.00000E+00	-9.94240E-07
1.62000E+00	1.04144E-06	4.91040E-01	0.00000E+00	0.00000E+00	-1.03938E-06
1.64000E+00	1.08246E-06	4.92800E-01	0.00000E+00	0.00000E+00	-1.08546E-06
1.66000E+00	1.12808E-06	4.94880E-01	0.00000E+00	0.00000E+00	-1.13448E-06
1.68000E+00	1.17700E-06	4.96920E-01	0.00000E+00	0.00000E+00	-1.17920E-06
1.70000E+00	1.23250E-06	4.98960E-01	0.00000E+00	0.00000E+00	-1.22820E-06
1.72000E+00	1.27970E-06	5.01080E-01	0.00000E+00	0.00000E+00	-1.27840E-06
1.74000E+00	1.32790E-06	5.02720E-01	0.00000E+00	0.00000E+00	-1.32770E-06
1.76000E+00	1.38880E-06	5.05280E-01	0.00000E+00	0.00000E+00	-1.38210E-06
1.78000E+00	1.43720E-06	5.07280E-01	0.00000E+00	0.00000E+00	-1.43520E-06
1.80000E+00	1.49220E-06	5.09200E-01	0.00000E+00	0.00000E+00	-1.49400E-06
1.82000E+00	1.56480E-06	5.11600E-01	0.00000E+00	0.00000E+00	-1.55640E-06
1.84000E+00	1.62860E-06	5.13920E-01	0.00000E+00	0.00000E+00	-1.62060E-06
1.86000E+00	1.69540E-06	5.16120E-01	0.00000E+00	0.00000E+00	-1.68410E-06
1.88000E+00	1.76390E-06	5.17960E-01	0.00000E+00	0.00000E+00	-1.76630E-06
1.90000E+00	1.83880E-06	5.20760E-01	0.00000E+00	0.00000E+00	-1.83380E-06
1.92000E+00	1.90770E-06	5.23000E-01	0.00000E+00	0.00000E+00	-1.91310E-06
1.94000E+00	1.98120E-06	5.25680E-01	0.00000E+00	0.00000E+00	-1.97800E-06
1.96000E+00	2.07100E-06	5.25840E-01	0.00000E+00	0.00000E+00	-2.07060E-06
1.98000E+00	2.14890E-06	5.30960E-01	0.00000E+00	0.00000E+00	-2.14470E-06
2.00000E+00	2.24570E-06	5.33640E-01	0.00000E+00	0.00000E+00	-2.23930E-06
2.02000E+00	2.33410E-06	5.36600E-01	0.00000E+00	0.00000E+00	-2.33220E-06
2.04000E+00	2.44190E-06	5.39480E-01	0.00000E+00	0.00000E+00	-2.42860E-06
2.06000E+00	2.52750E-06	5.40000E-01	0.00000E+00	0.00000E+00	-2.52370E-06
2.08000E+00	2.62200E-06	5.44280E-01	0.00000E+00	0.00000E+00	-2.62230E-06
2.10000E+00	2.74470E-06	5.47440E-01	0.00000E+00	0.00000E+00	-2.73960E-06
2.12000E+00	2.85250E-06	5.50520E-01	0.00000E+00	0.00000E+00	-2.84950E-06
2.14000E+00	2.94460E-06	5.53880E-01	0.00000E+00	0.00000E+00	-2.96010E-06
2.16000E+00	3.08350E-06	5.56480E-01	0.00000E+00	0.00000E+00	-3.08690E-06
2.18000E+00	3.21570E-06	5.59400E-01	0.00000E+00	0.00000E+00	-3.21330E-06
2.20000E+00	3.34440E-06	5.62240E-01	0.00000E+00	0.00000E+00	-3.34770E-06
2.22000E+00	3.48260E-06	5.66080E-01	0.00000E+00	0.00000E+00	-3.48070E-06
2.24000E+00	3.62820E-06	5.69640E-01	0.00000E+00	0.00000E+00	-3.61980E-06
2.26000E+00	3.76750E-06	5.72400E-01	0.00000E+00	0.00000E+00	-3.84090E-06
2.28000E+00	3.92370E-06	5.76400E-01	0.00000E+00	0.00000E+00	-3.92750E-06
2.30000E+00	4.08540E-06	5.79800E-01	0.00000E+00	0.00000E+00	-4.07910E-06
2.32000E+00	4.25530E-06	5.83640E-01	0.00000E+00	0.00000E+00	-4.26650E-06
2.34000E+00	4.42050E-06	5.87400E-01	0.00000E+00	0.00000E+00	-4.42230E-06
2.36000E+00	4.60030E-06	5.91040E-01	0.00000E+00	0.00000E+00	-4.73150E-06
2.38000E+00	4.77970E-06	5.95280E-01	0.00000E+00	0.00000E+00	-4.77800E-06
2.40000E+00	4.97830E-06	5.99360E-01	0.00000E+00	0.00000E+00	-4.97210E-06
2.42000E+00	5.18200E-06	6.03200E-01	0.00000E+00	0.00000E+00	-5.17070E-06
2.44000E+00	5.38960E-06	6.08160E-01	0.00000E+00	0.00000E+00	-5.39320E-06
2.46000E+00	5.60610E-06	6.11480E-01	0.00000E+00	0.00000E+00	-5.60490E-06
2.48000E+00	5.81940E-06	6.15480E-01	0.00000E+00	0.00000E+00	-5.82070E-06
2.50000E+00	6.06800E-06	6.19840E-01	0.00000E+00	0.00000E+00	-6.07420E-06
2.52000E+00	6.31350E-06	6.23960E-01	0.00000E+00	0.00000E+00	-6.32210E-06
2.54000E+00	6.57220E-06	6.28800E-01	0.00000E+00	0.00000E+00	-6.57140E-06
2.56000E+00	6.85070E-06	6.32480E-01	0.00000E+00	0.00000E+00	-7.04040E-06
2.58000E+00	7.15550E-06	6.37680E-01	0.00000E+00	0.00000E+00	-7.11420E-06
2.60000E+00	7.40770E-06	6.42240E-01	0.00000E+00	0.00000E+00	-7.42050E-06
2.62000E+00	7.72290E-06	6.46960E-01	0.00000E+00	0.00000E+00	-7.69810E-06
2.64000E+00	8.04370E-06	6.52200E-01	0.00000E+00	0.00000E+00	-8.03510E-06
2.66000E+00	8.36360E-06	6.56480E-01	0.00000E+00	0.00000E+00	-8.40070E-06
2.68000E+00	8.71460E-06	6.61280E-01	0.00000E+00	0.00000E+00	-8.70610E-06
2.70000E+00	9.06620E-06	6.66480E-01	0.00000E+00	0.00000E+00	-9.03750E-06
2.72000E+00	9.43260E-06	6.70840E-01	0.00000E+00	0.00000E+00	-9.43200E-06
2.74000E+00	9.84400E-06	6.75720E-01	0.00000E+00	0.00000E+00	-9.78010E-06
2.76000E+00	1.02112E-05	6.81160E-01	0.00000E+00	0.00000E+00	-1.01947E-05
2.78000E+00	1.06530E-05	6.85560E-01	0.00000E+00	0.00000E+00	-1.06446E-05
2.80000E+00	1.10835E-05	6.90840E-01	0.00000E+00	0.00000E+00	-1.11215E-05
2.82000E+00	1.16660E-05	6.96360E-01	0.00000E+00	0.00000E+00	-1.16140E-05
2.84000E+00	1.21260E-05	7.02560E-01	0.00000E+00	0.00000E+00	-1.21120E-05
2.86000E+00	1.26260E-05	7.08560E-01	0.00000E+00	0.00000E+00	-1.26000E-05
2.88000E+00	1.34440E-05	7.13600E-01	0.00000E+00	0.00000E+00	-1.34620E-05
2.90000E+00	1.36280E-05	7.18480E-01	0.00000E+00	0.00000E+00	-1.35920E-05
2.92000E+00	1.42300E-05	7.25120E-01	0.00000E+00	0.00000E+00	-1.42520E-05
2.94000E+00	1.48200E-05	7.30280E-01	0.00000E+00	0.00000E+00	-1.48180E-05
2.96000E+00	1.53640E-05	7.35440E-01	0.00000E+00	0.00000E+00	-1.53260E-05
2.98000E+00	1.60060E-05	7.41800E-01	0.00000E+00	0.00000E+00	-1.59740E-05
3.00000E+00	1.67400E-05	7.47360E-01	0.00000E+00	0.00000E+00	-1.66620E-05
3.02000E+00	1.73320E-05	7.53040E-01	0.00000E+00	0.00000E+00	-1.73180E-05
3.04000E+00	1.80560E-05	7.59520E-01	0.00000E+00	0.00000E+00	-1.79940E-05
3.06000E+00	1.87500E-05	7.65760E-01	0.00000E+00	0.00000E+00	-1.86920E-05
3.08000E+00	1.94920E-05	7.71200E-01	0.00000E+00	0.00000E+00	-1.95160E-05
3.10000E+00	2.03420E-05	7.76920E-01	0.00000E+00	0.00000E+00	-2.02240E-05
3.12000E+00	2.11700E-05	7.82520E-01	0.00000E+00	0.00000E+00	-2.10140E-05
3.14000E+00	2.19340E-05	7.88680E-01	0.00000E+00	0.00000E+00	-2.19780E-05
3.16000E+00	2.28720E-05	7.95080E-01	0.00000E+00	0.00000E+00	-2.28300E-05
3.18000E+00	2.37540E-05	8.01760E-01	0.00000E+00	0.00000E+00	-2.37520E-05
3.20000E+00	2.46400E-05	8.08040E-01	0.00000E+00	0.00000E+00	-2.47240E-05
3.22000E+00	2.56580E-05	8.15040E-01	0.00000E+00	0.00000E+00	-2.57820E-05
3.24000E+00	2.68500E-05	8.21000E-01	0.00000E+00	0.00000E+00	-2.67600E-05
3.26000E+00	2.77400E-05	8.27240E-01	0.00000E+00	0.00000E+00	-2.77580E-05
3.28000E+00	2.88560E-05	8.33920E-01	0.00000E+00	0.00000E+00	-2.89240E-05
3.30000E+00	2.99460E-05	8.40280E-01	0.00000E+00	0.00000E+00	-2.99200E-05
3.32000E+00	3.10460E-05	8.47640E-01	0.00000E+00	0.00000E+00	-3.10660E-05
3.34000E+00	3.23940E-05	8.54640E-01	0.00000E+00	0.00000E+00	-3.24680E-05
3.36000E+00	3.36920E-05	8.60920E-01	0.00000E+00	0.00000E+00	-3.37420E-05
3.38000E+00	3.49860E-05	8.67920E-01	0.00000E+00	0.00000E+00	-3.49340E-05
3.40000E+00	3.64340E-05	8.74760E-01	0.00000E+00	0.00000E+00	-3.63260E-05
3.42000E+00	3.77600E-05	8.81720E-01	0.00000E+00	0.00000E+00	-3.78160E-05
3.44000E+00	3.93020E-05	8.88600E-01	0.00000E+00	0.00000E+00	-3.92880E-05
3.46000E+00	4.08020E-05	8.95160E-01	0.00000E+00	0.00000E+00	-4.06780E-05
3.48000E+00	4.22820E-05	9.03080E-01	0.00000E+00	0.00000E+00	-4.23440E-05
3.50000E+00	4.38820E-05	9.10040E-01	0.00000E+00	0.00000E+00	-4.38420E-05
3.52000E+00	4.56680E-05	9.16720E-01	0.00000E+00	0.00000E+00	-4.56460E-05
3.54000E+00	4.73960E-05	9.24360E-01	0.00000E+00	0.00000E+00	-4.73760E-05
3.56000E+00	4.91740E-05	9.31720E-01	0.00000E+00	0.00000E+00	-4.91820E-05
3.58000E+00	5.12100E-05	9.39240E-01	0.00000E+00	0.00000E+00	-5.13040E-05
3.60000E+00	5.31380E-05	9.46360E-01	0.00000E+00	0.00000E+00	-5.31160E-05
3.62000E+00	5.48700E-05	9.53560E-01	0.00000E+00	0.00000E+00	-5.47500E-05
3.64000E+00	5.69000E-05	9.61880E-01	0.00000E+00	0.00000E+00	-5.68240E-05
3.66000E+00	5.89260E-05	9.68960E-01	0.00000E+00	0.00000E+00	-5.89340E-05
3.68000E+00	6.14720E-05	9.76920E-01	0.00000E+00	0.00000E+00	-6.11040E-05
3.70000E+00	6.37220E-05	9.84480E-01	0.00000E+00	0.00000E+00	-6.36620E-05
3.72000E+00	6.56640E-05	9.92400E-01	0.00000E+00	0.00000E+00	-6.54560E-05
3.74000E+00	6.83940E-05	1.00020E+00	0.00000E+00	0.00000E+00	-6.82320E-05
3.76000E+00	7.04820E-05	1.00800E+00	0.00000E+00	0.00000E+00	-7.06360E-05
3.78000E+00	7.35240E-05	1.01716E+00	0.00000E+00	0.00000E+00	-7.33760E-05
3.80000E+00	7.56820E-05	1.02460E+00	0.00000E+00	0.00000E+00	-7.56220E-05
3.82000E+00	7.86240E-05	1.03192E+00	0.00000E+00	0.00000E+00	-7.84340E-05
3.84000E+00	8.10460E-05	1.04000E+00	0.00000E+00	0.00000E+00	-8.11460E-05
3.86000E+00	8.42760E-05	1.04800E+00	0.00000E+00	0.00000E+00	-8.36840E-05
3.88000E+00	8.75060E-05	1.05676E+00	0.00000E+00	0.00000E+00	-8.67200E-05
3.90000E+00	9.03340E-05	1.06484E+00	0.00000E+00	0.00000E+00	-8.97920E-05
3.92000E+00	9.30760E-05	1.07308E+00	0.00000E+00	0.00000E+00	-9.28180E-05
3.94000E+00	9.78720E-05	1.08184E+00	0.00000E+00	0.00000E+00	-9.62780E-05
3.96000E+00	9.92880E-05	1.08996E+00	0.00000E+00	0.00000E+00	-9.93800E-05
3.98000E+00	1.02666E-04	1.09900E+00	0.00000E+00	0.00000E+00	-1.02518E-04
4.00000E+00	1.05946E-04	1.10816E+00	0.00000E+00	0.00000E+00	-1.06188E-04
0.00000E+00	-2.50080E-05	1.70080E-01	2.50000E-05	0.00000E+00	2.06650E-09
2.00000E-02	-2.49800E-05	1.90200E-01	2.50000E-05	0.00000E+00	-2.81840E-09
4.00000E-02	-2.50000E-05	2.12600E-01	2.50000E-05	0.00000E+00	-8.56800E-10
6.00000E-02	-2.50040E-05	2.32440E-01	2.50000E-05	0.00000E+00	1.64840E-09
8.00000E-02	-2.49900E-05	2.51000E-01	2.50000E-05	0.00000E+00	-2.27500E-09
1.00000E-01	-2.49980E-05	2.70840E-01	2.50000E-05	0.00000E+00	-4.05220E-09
1.20000E-01	-2.50140E-05	2.92440E-01	2.50000E-05	0.00000E+00	-1.85350E-09
1.40000E-01	-2.49880E-05	3.11000E-01	2.50000E-05	0.00000E+00	-3.09570E-09
1.60000E-01	-2.49720E-05	3.29280E-01	2.50000E-05	0.00000E+00	-1.01257E-08
1.80000E-01	-2.49820E-05	3.53040E-01	2.50000E-05	0.00000E+00	-1.43358E-08
2.00000E-01	-2.49700E-05	3.70480E-01	2.50000E-05	0.00000E+00	-3.09880E-08
2.20000E-01	-2.49540E-05	3.90920E-01	2.50000E-05	0.00000E+00	-5.64612E-08
2.40000E-01	-2.49040E-05	4.10200E-01	2.50000E-05	0.00000E+00	-9.81996E-08
2.60000E-01	-2.48200E-05	4.32400E-01	2.50000E-05	0.00000E+00	-1.81020E-07
2.80000E-01	-2.46660E-05	4.49880E-01	2.50000E-05	0.00000E+00	-3.35720E-07
3.00000E-01	-2.44480E-05	4.70760E-01	2.50000E-05	0.00000E+00	-5.60400E-07
3.20000E-01	-2.40680E-05	4.89680E-01	2.50000E-05	0.00000E+00	-8.74220E-07
3.40000E-01	-2.36200E-05	5.10400E-01	2.50000E-05	0.00000E+00	-1.29990E-06
3.60000E-01	-2.30000E-05	5.31880E-01	2.50000E-05	0.00000E+00	-1.97930E-06
3.80000E-01	-2.22920E-05	5.51720E-01	2.50000E-05	0.00000E+00	-2.71430E-06
4.00000E-01	-2.14780E-05	5.69920E-01	2.50000E-05	0.00000E+00	-3.49950E-06
4.20000E-01	-2.04900E-05	5.86720E-01	2.50000E-05	0.00000E+00	-4.40200E-06
4.40000E-01	-1.98300E-05	6.08600E-01	2.50000E-05	0.00000E+00	-5.28760E-06
4.60000E-01	-1.84920E-05	6.28600E-01	2.50000E-05	0.00000E+00	-6.49640E-06
4.80000E-01	-1.72000E-05	6.47880E-01	2.50000E-05	0.00000E+00	-7.66050E-06
5.00000E-01	-1.57340E-05	6.64840E-01	2.50000E-05	0.00000E+00	-9.03650E-06
5.20000E-01	-1.42320E-05	6.83120E-01	2.50000E-05	0.00000E+00	-1.08440E-05
5.40000E-01	-1.26460E-05	7.05400E-01	2.50000E-05	0.00000E+00	-1.26420E-05
5.60000E-01	-1.06680E-05	7.22520E-01	2.50000E-05	0.00000E+00	-1.44660E-05
5.80000E-01	-8.60900E-06	7.44880E-01	2.50000E-05	0.00000E+00	-1.64980E-05
6.00000E-01	-6.05270E-06	7.62160E-01	2.50000E-05	0.00000E+00	-1.88620E-05
6.20000E-01	-2.96120E-06	7.84240E-01	2.50000E-05	0.00000E+00	-2.19960E-05
6.40000E-01	-2.55720E-07	8.03000E-01	2.50000E-05	0.00000E+00	-2.46580E-05
6.60000E-01	2.87300E-06	8.21360E-01	2.50000E-05	0.00000E+00	-2.76700E-05
6.80000E-01	6.37420E-06	8.41800E-01	2.50000E-05	0.00000E+00	-3.21120E-05
7.00000E-01	1.00319E-05	8.58160E-01	2.50000E-05	0.00000E+00	-3.49760E-05
7.20000E-01	1.49000E-05	8.76120E-01	2.50000E-05	0.00000E+00	-3.98560E-05
7.40000E-01	1.91420E-05	8.98680E-01	2.50000E-05	0.00000E+00	-4.39520E-05
7.60000E-01	2.38300E-05	9.18200E-01	2.50000E-05	0.00000E+00	-4.88780E-05
7.80000E-01	2.85720E-05	9.35040E-01	2.50000E-05	0.00000E+00	-5.42380E-05
8.00000E-01	3.43780E-05	9.54120E-01	2.50000E-05	0.00000E+00	-5.95260E-05
8.20000E-01	4.05400E-05	9.73800E-01	2.50000E-05	0.00000E+00	-6.63800E-05
8.40000E-01	4.66320E-05	9.91480E-01	2.50000E-05	0.00000E+00	-7.13780E-05
