V1	I1	V2	I2	V3	I3
6.40000E-01	2.50880E-04	6.40000E-01	1.00768E-03	0.00000E+00	-1.25840E-03
6.50000E-01	2.71300E-04	6.50000E-01	1.13380E-03	0.00000E+00	-1.40500E-03
6.60000E-01	2.92040E-04	6.60000E-01	1.26680E-03	0.00000E+00	-1.55860E-03
6.70000E-01	3.13060E-04	6.70000E-01	1.40640E-03	0.00000E+00	-1.71980E-03
6.80000E-01	3.34320E-04	6.80000E-01	1.55260E-03	0.00000E+00	-1.88680E-03
6.90000E-01	3.55780E-04	6.90000E-01	1.70500E-03	0.00000E+00	-2.06060E-03
7.00000E-01	3.77540E-04	7.00000E-01	1.86260E-03	0.00000E+00	-2.24100E-03
7.10000E-01	3.99680E-04	7.10000E-01	2.02560E-03	0.00000E+00	-2.42520E-03
7.20000E-01	4.22460E-04	7.20000E-01	2.19400E-03	0.00000E+00	-2.61580E-03
7.30000E-01	4.45920E-04	7.30000E-01	2.36680E-03	0.00000E+00	-2.81260E-03
7.40000E-01	4.70400E-04	7.40000E-01	2.54180E-03	0.00000E+00	-3.01340E-03
7.50000E-01	4.96660E-04	7.50000E-01	2.72020E-03	0.00000E+00	-3.21700E-03
7.60000E-01	5.25020E-04	7.60000E-01	2.90060E-03	0.00000E+00	-3.42480E-03
7.70000E-01	5.55460E-04	7.70000E-01	3.08120E-03	0.00000E+00	-3.63520E-03
7.80000E-01	5.86700E-04	7.80000E-01	3.26280E-03	0.00000E+00	-3.84980E-03
7.90000E-01	6.22680E-04	7.90000E-01	3.44120E-03	0.00000E+00	-4.06360E-03
8.00000E-01	6.60900E-04	8.00000E-01	3.61960E-03	0.00000E+00	-4.27960E-03
8.10000E-01	7.03080E-04	8.10000E-01	3.79280E-03	0.00000E+00	-4.49700E-03
8.20000E-01	7.46120E-04	8.20000E-01	3.96860E-03	0.00000E+00	-4.71500E-03
8.30000E-01	7.96560E-04	8.30000E-01	4.13400E-03	0.00000E+00	-4.92860E-03
8.40000E-01	8.43860E-04	8.40000E-01	4.31020E-03	0.00000E+00	-5.14700E-03
8.50000E-01	8.91420E-04	8.50000E-01	4.48140E-03	0.00000E+00	-5.37360E-03
8.60000E-01	9.47320E-04	8.60000E-01	4.64260E-03	0.00000E+00	-5.59360E-03
8.70000E-01	9.97960E-04	8.70000E-01	4.81740E-03	0.00000E+00	-5.81800E-03
8.80000E-01	1.05814E-03	8.80000E-01	4.98260E-03	0.00000E+00	-6.03500E-03
8.90000E-01	1.10960E-03	8.90000E-01	5.15680E-03	0.00000E+00	-6.26280E-03
